Instrument,Price,Last Modified,Location,Description
Casio LD-50,"€ 40,00",oggi alle 18:17,Milano,Funziona con alimentatore...
Roland Piano plus 11 vintage e RARO,"€ 150,00",oggi alle 18:17,Milano,Divertimento assicurato con la drum e il basso in accompagnamento......drum basica presettata ma con suoni della serie CR78 e famiglia.... accompagnamento con variazioni....suoni da games anni 80........
Yamaha SY77,"€ 300,00",oggi alle 18:17,Milano,"Buone condizioni estetiche e di funzionamento
..."
Moog Grandmother,"€ 790,00",oggi alle 18:17,Torino,Vendo Moog Grandmother in ottime condizioni con set di cavi originali e manuale. In aggiunta opzionale borsa originale Moog 100 euro...
Roland U 110,"€ 75,00",oggi alle 18:17,Milano,Funzionante...
Eko Piano 200,"€ 400,00",oggi alle 18:17,Milano,"Tenuto molto bene, perfettamente funzionante..."
Farfisa Synthorchestra,"€ 1.750,00",oggi alle 18:17,Milano,Che c'è da dire? Rara e ricercata.....in ottime condizioni estetiche e di funzionamento...... ritiro a mano..........
Korg Microkorg,"€ 250,00",oggi alle 18:14,Bolzano,"..perfetto, come nuovo, con borsa.....3479121373 whatsapp..."
Moog MiniMoog Voyager XL,"€ 5.800,00",oggi alle 18:05,Milano,"Vendo MiniMoog XL edizione limitata non più in commercio, usato in perfette condizioni con case professionale su misura. 


Il Minimoog Voyager XL offre una patchbay sul pannello frontale che richi..."
Yamaha YC73 USATO NEGOZIO,"€ 2.093,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Studiologic Sledge 2,"€ 529,00",,Padova (PD),"Synth usato condizioni perfette Studiologic Sledge 2 arancione in stato di funzionamento ottimo stato estetico impeccabile.
Acquistabile con spedizione gratuita da nostro sito..."
Yamaha MOXF6 - prezzo trattabile,"€ 550,00",oggi alle 17:53,Potenza,"Vendo MOXF6 in ottimo stato.
La tastiera è trattabile mentre io sono intrattabile con perditempo e idioti...."
eurorack Case 84HP rack inclinabile,"€ 80,00",oggi alle 17:51,Bologna,"vendo il mio fidato case fatto con alimentazione lineare doepfer diy2 e alette rack tip top. regge +/-1.5A con trasformatore esterno (incluso)
scambio a mano zona Bologna o spedizione + 10€..."
CreamWare Minimax ASB,"€ 570,00",oggi alle 17:50,Monza e della Brianza,"Ottimo emulatore del celeberrimo Minimoog D.
In condizioni eccellenti.  Vendo per inutilizzo..."
Waldorf Q-Card compatibile per Q e Q Rack,"€ 22,00",oggi alle 17:48,Bergamo,"Vendo Waldorf Q-Card compatibile (equivalente all'originale) per Waldorf Q e Q Rack.

Foto della Qcard originale solo per riferimento.

Ogni Card offre 100 locazioni riscrivibili per suoni dei mod..."
"Korg Z1 - Versione polifonica e ""seria"" del Prophecy, MOSS. Tactile switch NUOVI","€ 599,00",oggi alle 17:48,Bergamo,"Synth a modelli virtuali. 
Versione a 12 voci e tastiera 61 note del Prophecy, e molto altro
La richiestissima tecnologia Korg MOSS al suo meglio, con decine di manopole e un incredibile sensore tat..."
Antumbra PATH Sequential switch (Doepfer A-100),"€ 96,00",oggi alle 17:48,Teramo,"Antumbra PATH nuovo, completo di tutto.

Ritiro in zona o spedizione a carico dell'acquirente...."
Mosaic ADSR 1U (formato Intellijel),"€ 95,00",oggi alle 17:48,Teramo,"Mosaic ADSR 1U come nuovo, completo di scatola.

Ritiro in zona o spedizione a carico dell'acquirente.

Prezzo non trattabile, no scambi...."
Expert Sleepers Beatrix - Phaser (Dopefer A-100),"€ 149,00",oggi alle 17:48,Teramo,"Phaser Expert Sleepers Beatrix come nuovo, completo di scatola.

Ritiro in zona o spedizione a carico dell'acquirente.

Prezzo non trattabile, no scambi...."
Weston Precision Audio TZ0 Thru-Zero VCO (Oscillatore / NO Doepfer),"€ 219,00",oggi alle 17:48,Teramo,"Vendo Weston Precision Audio TZ0 Thru-Zero VCO come nuovo, utilizzato solo qualche ora per demo. Vendo esclusivamente per necessità.

Difficile da trovare in Europa, è ""factory built"", quindi non DI..."
Erica Synths Graphic VCO,"€ 299,00",oggi alle 17:48,Teramo,"Erica Synths Graphic VCO come nuovo, usato un paio di volte per demo. Con scatola, ribbon e viti.

Ritiro in zona o spedizione a carico dell'acquirente...."
Korg Volca Keys come NUOVO anche scambio,"€ 100,00",oggi alle 17:47,Terni,"Vendo questo ganzissimo synth ""tascabile"" usato davvero mezz'ora.
Sono un chitarrista e non ho modo e tempo di lavorarci, ma ci tiri fuori dei suoni e degli arpeggi davvero professionali.
Lo strumen..."
Novation xio synth 49,"€ 200,00",oggi alle 17:46,Bergamo,"Vendo per esubero strumentazione. Perfettamente funzionante, funziona con corrente di rete, USB e con 6 pile AA. Synth e interfaccia audio (1 ingresso XLR/jack) con tutti i suoni Novation e abbondanti..."
Korg prologue 16 con imballo originale + 12 mesi di garanzia usato negozio,"€ 1.100,00",,,"MUSICALANDIA: 338/7660205  0332/771508
tastiera prologue 16 in condizioni pari al nuovo, completo di imballo originale e 12 mesi di garanzia residua
..."
"L-1 Quad VCA / Mixer, THAT2181, pannello Clarke","€ 210,00",oggi alle 17:42,Napoli,"Vendo L-1 Quad VCA / Mixer con pannello Clarke.
4 canali di VCA THAT2181.
Utilizzabile sia per audio che per CV.
16 hp.

Vendo anche altri moduli.
Contattami per offerte combinate.

Unici scam..."
"L-1 Quad VCA / Mixer, THAT2181, pannello Clarke","€ 210,00",oggi alle 17:42,Napoli,"Vendo L-1 Quad VCA / Mixer con pannello Clarke.
4 canali di VCA THAT2181.
Utilizzabile sia per audio che per CV.
16 hp.

Vendo anche altri moduli.
Contattami per offerte combinate.

Unici scam..."
TYPHOON Pannello + stencil modulo eurorack,"€ 30,00",oggi alle 17:38,Bologna,"-6 pannelli per Typhoon in fr4 Enig black and gold
-stencil in acciaio per pasta a saldare 

scambio a mano zona Bologna
spedizione in italia e paypal fees a carico dell'acquirente

..."
MAtrix Mixer 4x3 Pusherman Eurorack module,"€ 50,00",oggi alle 17:37,Bologna,"https://www.modulargrid.net/e/other-unknown-orodrono-4-3-matrix-mixer

mixer a matrice 4x3 con gain di 2x con potenziometro tutto a dx.
la funzionalità è perfetta, purtroppo ha un problema estetico..."
ER301 pannello black and gold per modulo eurorack,"€ 25,00",oggi alle 17:37,Bologna,"pannello di ricambio in allumino per orthogonal devices er301
le istruzioni per montarlo si trovano sul forum OD
spedizione a parte o scambio a mano zona bologna..."
Korb Folder dual VCO con wavefolder Eurorack Module,"€ 150,00",oggi alle 17:37,Bologna,"Due oscillatori in in modulo, pannello ghetto style in alluminio inciso
Con uscita wavefolder e crossfader
bel suono e buona tracciatura volt/ottava
spedizione 10eu in italia
no scambi..."
Korb FOLDER dual VCO DIY KIT EURORACK,"€ 20,00",oggi alle 17:37,Bologna,"Fai da te VCO Korb Folder, Modulo eurorack due VCO analogici con wavefolder e crossfader
incluso:
PCB con 2 Tempco, Microcontroller già programmato e Pannello in Alluminio inciso ghetto Style. 
spe..."
Korb folder dual VCO con wavefolder Eurorack Module,"€ 170,00",oggi alle 17:37,Bologna,"moduklo assemlato da Marcus korb
Due oscillatori in in modulo, pannello Black and Gold in alluminio
Con uscita wavefolder e crossfader
bel suono e buona tracciatura volt/ottava
spedizione 10eu in ..."
Yamaha MODX 8,"€ 1.150,00",oggi alle 17:36,Latina,"VENDO X ESUBERO ATTREZZATURA
YAMAHA MODX 8 
NUOVISSIMA SENZA SEGNI DI USURA
TENUTA SEMPRE IN STUDIO 
88 TASTI 
VENDO CON CUSTODIA MORBIDA

1.150,00 EURO
INFO MARCO 339/7059754..."
manuale  in formato PdF per Roland  SH201,"€ 10,00",oggi alle 17:33,Novara,"Ciao a tutti. 
ANNUCIO SEMPRE VALIDO
Vendo manuale per ROLAND SH201, per chi al roland SH201 comprato di seconda mano e sprovvisto di manuale istruzioni in italiano lo vendo in formato Pdf stampabil..."
Waldorf Iridium keyboard,"€ 2.300,00",oggi alle 17:30,Brescia,"Due mesi di vita, vendo per cambio setup...."
Roland Roland GAIA SH01 USATO,"€ 499,00",,Napoli (NA),"GAIA SH-01, grazie alle sue caratteristiche, si ispira ai modelli del passato. La qualità e la semplicità di utilizzo rendono questo synth adatto a tutti gli stili musicali e rivolto a qualsiasi music..."
Moog Little Phatty Stage II,"€ 900,00",oggi alle 17:26,Roma,Ottime condizioni estetico-funzionali. Mai usato su palco. Solo studio. Completo di manuale originale e cavo di alimentazione. Disponibile a qualsiasi prova. Non spedisco. Solo ritiro a mano su Roma (...
Waldorf Rocket,"€ 170,00",oggi alle 17:26,Roma,"Sintetizzatore anaolgico, basato sul leggendario motore Saturn V. È dotato di un VCF analogico multimodale con passa-basso, passa-banda e passa-alto, risonanza fino ad auto-oscillazione ed oltre, una ..."
TASTIERA YAMAHA MOTIF XF6 CON GARANZIA 12 MESI USATO,"€ 1.350,00",,,"MUSICALANDIA: 338/7660205  0332/771508
tastiera yamaha motif xf6 in condizioni perfette
12 mesi di garanzia
spedizione in tutta italia..."
Roland VR-09,"€ 550,00",oggi alle 17:23,Milano,"In ottime condizioni, vendo per inutilizzo. Prezzo trattabile. Vendo anche con custodia originale. Sfortunatamente la custodia ha la zip della tasca esterna rotta (allego foto)...."
Nord Electro 3 73 RIBASSO,"€ 790,00",oggi alle 17:19,Livorno,"Tastiera in ottime condizioni.
Spedizione non compresa..."
Yamaha CS-15 (ancora per poco tempo...),"€ 1.200,00",oggi alle 17:19,Roma,"Yamaha synth monofonico modello CS-15, tutto ovviamente analogico, con doppio VCO, doppio ADSR, doppio VCF multimodo e - crepi l'Avarizia! - addirittura doppio VCA: in pratica, quanto a capacità timbr..."
Roland 104 vintage analog sequencer...,"€ 1.800,00",oggi alle 17:19,Roma,"Funzionante e in buonissimo stato (foto di web-repertorio, prossimamente quelle del mio, se ci sarà interesse per l'oggetto), pochi esemplari in circolazione... e meno ancora in vendita!... Vero vinta..."
Spedizione compresa+manuale italiano.Korg 01/Wfd in stato di grazia.,"€ 336,00",oggi alle 17:16,Roma,"Spedizione+manuale italiano.Prezzo intrattabile : condizioni da vetrina.Solo bonifico/contanti.
Implementa un tipo di sintesi che non ho trovato su alcun altro synth : la WAVESHAPING che a partire da..."
Yamaha CP88 usato negozio,"€ 1.999,00",,Napoli (NA),"Testo:PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite ..."
Doepfer A 114 ring modulator,"€ 35,00",oggi alle 17:13,Trento,"Vendo A 114 ring modulator in ottime condizioni

Accetto bonifico paypal (spese a carico acquirente) spedizione e riti..."
4MS pod26 powered +4MS power brick 45watt NUOVI,"€ 115,00",oggi alle 17:13,Trento,"Vendo per errato acquisto (profondità non sufficiente per i miei moduli)                                

4MS pod26 powered +4MS power brick 45watt .

NUOVO MAI USATO..."
Doepfer A-132-1 dual VCA,"€ 45,00",oggi alle 17:13,Trento,"Vendo Doepfer A-132-1 dual VCA in ottime condizioni

Paypal bonifico e ritiro a mano accettati

Spese di spedizione 10 euro..."
TC Electronic POWERCORE COMPACT,"€ 150,00",oggi alle 17:12,Pescara,"RIBASSO
VENDO POWERCORE COMPACT IN OTTIME CONDIZIONI.
INVIO FOTO AD INTERESSATI.SPEDIZIONE INCLUSA.
https://www.strumentimusicali.net/product_info.php/products_id/7084/tc-electronic-powercore-compa..."
Clavia NORD LEAD 2X,"€ 800,00",oggi alle 17:12,Pescara,"VENDO NORDLEAD 2X IN OTTIME CONDIZIONI COMPLETO DI SOFTCASE
ACCETTO PROPOSTE DI SCAMBIO CON CAMPIONATORI AKAI..."
Arturia MicroFreak / possibilità di permuta o scambio,"€ 328,90",,,Arturia MicroFreak / possibilità di permuta o scambio...
Korg Minilogue,"€ 360,00",oggi alle 17:07,La Spezia,Vendo Korg Minilogue compreso di alimentatore e imballo originale. Per maggiori info 3491900624...
Clavia Nord Lead Anniversary,"€ 1.200,00",oggi alle 17:04,Trieste,"Vendo Nord Lead Anniversary, l'edizione speciale da collezione prodotta per celebrare il 25mo anniversario di casa Clavia. 
Unità numero 65 di 299 prodotte. Funzionalmente come nuova, esteticamente q..."
Mudulo VCF Ripples clone Mutable Instruments,"€ 130,00",oggi alle 17:03,Catania,"Perfetto clone del filtro eurorack Ripples di Mutable Instruments.
Classico filtro analogico grasso con risonanza liquida stile Roland SH/Jupiter, modulo con pannello nero opaco ed efficaci manopole...."
TASTIERA ROLAND FA 08  + CUSTODIA MORBIDA + GARANZIA 12 MESI (USATO PERFETTO),"€ 1.190,00",,,"MUSICALANDIA: 338/7660205  0332/771508
tastiera roland fa 08 prodotto usato con garanzia residua roland 
12 mesi di garanzia..."
Dave Smith Instruments Tempest,"€ 1.800,00",oggi alle 16:59,Roma,Macchina eccezionale può essere un prophet a 6voci o una linndrum o tutt'e due insieme rara e introvabile. Stato estetico e funzionale pari al nuovo. Prezzo non trattabile di sicura rivalutazione futu...
Yamaha Portasound PSS-795,"€ 160,00",oggi alle 16:55,Bari,"Tastiera  workstation Yamaha 1991 made in Japan,in perfette condizioni e perfettamente funzionante.
Generazione suoni con sintesi vettoriale programmabile + campionati AWM. 
Arrangiamenti con 50 sti..."
Synth Keytek M20 ( Siel ),"€ 100,00",oggi alle 16:47,Napoli,"Mini tastiera Keytek M20 ( costruita da Siel ) con funzioni di batteria elettronica, basso ed arpeggi presettati. Alimentazione via batterie disabilitata, si alimenta con trasformatore esterno ( forni..."
KOMA Elektronik Field Kit FX + Expansion pack,"€ 320,00",oggi alle 16:46,Torino,"Vendo modulo multieffetto Koma Field Kit FX insieme al suo kit di espansione, compreso di riverbero a molla, cavi RCA, patch eurorack e microfoni a contatto.
Acquistabile solo in blocco.
Consegna a ..."
Eurorack Intellijel Triatt & uJack,"€ 150,00",oggi alle 16:45,Pesaro e Urbino,"Come da titolo, vendo moduli Triatt e uJack compresi di scatola e accessori originali.
I moduli sono in condizioni estetiche e funzionali perfette: niente rack rash, graffi, o problemi tecnici...."
Doboz VCO340 - oscillatore analogico eurorack,"€ 179,00",oggi alle 16:45,Catania,"Oscillatore analogico controllato in tensione triangle core basato sul famoso chip VCO CEM3340/AS3340. Oltre al set completo delle 4 forme d'onda tradizionali, sono state aggiunte altre due forme d'on..."
Korg volca sample + accessori,"€ 100,00",oggi alle 16:44,Vicenza,"Korg Volca Sample, perfettamente funzionante. Unico proprietario mai live o botte, sempre riposto nella scatola dopo l'utilizzo. Già sbloccato. Acquistato nel novembre 2021

Compreso alimentatore e ..."
Arturia Minibrute 1,"€ 220,00",oggi alle 16:39,Roma,Vendo Arturia Minibrute 1 con upgrade manopole in alluminio....
Roland JV-1080 - Modulo sonoro multitimbrico,"€ 200,00",oggi alle 16:36,Novara,"Mopdlulo sonoro multitimbrico Roland JV-1080

Ottime condizioni estetiche e funzionali

Specifiche:
https://www.vintagesynth.com/roland/jv1080.php

Spedizione a carico dell'acquirente

NO SCA..."
M Audio KEYSTATION 49 TASTI MK3,"€ 60,00",oggi alle 16:36,Massa Carrara,"M audio keystation 49 tasti MK3 con scatola originale, libretto di istruzioni e cavo usb perfettamente funzionante


Connessione USB-MIDI
3 pulsanti di trasporto, 5 pulsanti direzionali, slider vo..."
Behringer 2500,"€ 1.200,00",oggi alle 16:35,Bergamo,"Vendo case Behringer go con setup completo Arp 2500, strumento fantastico, mai uscito di casa, vendo solo completo.

Niente scambi, del case ho ancora gli imballi originali.

..."
KORG EA-1,"€ 200,00",oggi alle 16:32,Bergamo,"Vendo Korg KORG EA-1 per completo inutilizzo.

PREFERIBILMENTE CONSEGNA  A MANO. In alternativa accettiamo spedizione a carico del destinatario.

Per informazioni contattare Fabio al numero 348789..."
Synt Roland  Alpha juno 2,"€ 600,00",oggi alle 16:29,Varese,"Synt Roland Alpha Juno 2 
Ottime condizioni , da poco revisionato 
Visibile a Sesto San Giovanni 
3201834123..."
Roland D 50,"€ 500,00",oggi alle 16:29,Varese,"Synt Roland modello D50
Visibile a Sesto San Giovanni
3201834123..."
Yamaha CS-5,"€ 800,00",oggi alle 16:28,Bologna,"Vendo sintetizzatore monofonico Yamaha CS-5 usato, mai uscito da casa, completamente revisionato da tecnico qualificato. Visionabile a Bologna, via Cartoleria 44...."
Roland V - Synth GT,"€ 1.500,00",oggi alle 16:20,Salerno,"Vendo V - Synth Gt in condizioni ottime (di più).
Spese di spedizione a carico dell’acquirente...."
Waldorf Blofeld,"€ 420,00",oggi alle 16:18,Vicenza,"Per passaggio ad altra strumentazione vendo il mio Blofeld, modificato Arancione
Il synth è stato usato in un paio di live, per il resto sempre in studio, non fumatori
Regalo pacchetti di suoni scar..."
Vendo Korg opsix,"€ 380,00",oggi alle 16:12,Lecce,"Vendo Korg opsix acquistata da qualche mese, ovviamente con imballo e garanzia...."
Dave Smith Instruments Sequential OB-6  USATO,"€ 2.999,00",,Napoli (NA),"9 Tasti sensibili alla velocità leggermente ponderati con aftertouch

500 Factory e 500 preset utente in 10 banchi

Percorso del segnale analogico

Due VCO discreti + sub-oscillatori per voce co..."
Roland D5,"€ 150,00",oggi alle 16:06,Bologna,"mitico Roland D5 synth anni '80 Made in Japan, sintesi LA, multitimbrico 8 parti + drums, polifonia 32 parziali.
interfaccia MIDI (in - out - thru), funzioni arpeggiatore, chord play, chase, harmony...."
"Case 46 hp alimentato: End. Power, Strymon A1, Instruo Arbhar e Ochd, Noise Wild","€ 40,00",oggi alle 16:03,Torino,"Ciao!

Cosa è rimasto dalla foto che vedete: 

Noise Wildsync -  4 tipi di noise: white, blue, red, brown - 40 euro

Per qualsiasi altra info chiedete!

Consegna a mano su Torino o spedizione ..."
"Yusynth Eurorack PCB(Mixer, MIDI, Noise, S&H)","€ 4,00",oggi alle 15:58,Bologna,"Vendo PCB derivate dai progetti per moduli Yusynth. Non vendo i pannelli e nemmeno i componenti. 
Includo istruzioni e lista componenti. Progetti per saldatori con media esperienza.
Di seguito la li..."
AI Synthesis - Looping ADSR(eurorack DIY FULL KIT),"€ 83,00",oggi alle 15:58,Bologna,"Kit completo con tutti i componenti per assemblare il modulo AI003; il kit non è mai stato aperto, di conseguenza è come se fosse nuovo. Vendo per doppione nel rack! 

Specifiche complete nel link d..."
EAST BEAST nuovo mai usato,"€ 228,00",oggi alle 15:57,Macerata,Synth modulare mai usato. Regalo. Prezzo non trattabile. Spese a carico dell' acquirente....
Alesis HARMONY 54,"€ 60,00",,,"TASTIERA APERTA SOLO PER ESPOSIZIONE-GARANZIA E STATO PARI AL NUOVO
Piano digitale 54 tasti con casse integrate - 300 suoni con modi layer e split - Modo ""One Touch Song"" con 300 ritmi integrati - Su..."
Dreadbox ANTIDOTE Eurorack,"€ 75,00",oggi alle 15:42,Roma,"Vendo, Ottime condizioni no RR.
Consegna a mano su Roma..."
Nord Lead A1 USATO NEGOZIO,"€ 1.250,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Pittsburgh Modular Structure EP-360 Eurorack Case,"€ 650,00",oggi alle 15:28,Roma,"Vendo pari al nuovo Eurorack Modular Pittsburgh Structure EP-360 Case trasportabile con coperchio da 120hp x 3.

Spedisco a carico dell'acquirente o ritiro a mano su Roma!..."
"Novation X-STATION 61 synth, controller con custodia","€ 290,00",oggi alle 15:25,Bergamo,"SINTETIZZATORE + INTERFACCIA AUDIO + CONTROLLER USB NOVATION X STATION

SINTETIZZATORE polifonico:
Sintetizzatore potentissimo, tastiera dinamica con aftertouch, controller usb assegnabile con temp..."
Behringer Deepmind 12 perfetto +custodia originale Behringer,"€ 650,00",oggi alle 15:25,Bergamo,"perfetto
non spedisco
scatola originale

moltissimi banchi suono..."
Arturia DrumBrute Impact usato negozio,"€ 250,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Nord Electro 5d 61,"€ 1.200,00",oggi alle 15:18,Roma,"Vendo Nord Electro 5d 61, sempre usato in studio. Perfetto funzionalmente ed esteticamente...."
Roland D50,"€ 580,00",oggi alle 15:12,Roma,"Vendo Roland D50 in ottime condizioni estetiche e funzionali per passaggio a nuova strumentazione. Mai uscito di casa, ambiente smoke free. Ritiro a mano dopo prova zona Roma..."
Roland Juno 106,"€ 2.200,00",oggi alle 15:12,Roma,"Vendo Roland Juno 106 in ottime condizioni estetiche e funzionali per passaggio a nuova strumentazione. Mai uscito di casa, ambiente smoke free. Ritiro a mano dopo prova zona Roma..."
Yamaha MM8 Tastiera Sintetizzatore 88 tasti pesati,"€ 499,00",,Lecce (LE),"Condizioni molto buone. Solo lo schermo presenta delle imperfezioni dovute a un urto. Custodia morbida in regalo.

SPEDIZIONE GRATUITA.

Prodotto FINANZIABILE con rate fino a 12 mesi SENZA BUSTA P..."
YAMAHA MONTAGE 7 USATO,"€ 2.990,00",,Napoli (NA),"
PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite what..."
Korg Polysix,prezzo su richiesta,,Luni (SP),"KORG Polysix in ottime condizioni. Cpmpletamente revisionato e garantito 12 mesi. 
Nuova batteria tampone, tastiera pulita, strumento completamente tarato ed altro, pronto all'uso live o studio recor..."
Arturia Beatstep e moduli eurorack,prezzo su richiesta,oggi alle 14:50,Milano,"Vendo:

Endorphin.es Queen Of Pentacles - 550€
Behringer Brains - 100€
Behringer Model D - 270€
Behringer Neutron - 280€
Behringer CM1A - 50€
Arturia Beatstep pro black - 200€
Worg Electronics..."
Roland JD800/D70/U20/XP80/JV80/JV1000/WK7/etc.(colla rossa-contattiere-etc),prezzo su richiesta,oggi alle 14:47,Ferrara,Rimuovo completamente la colla rossa dai tasti e riparo le contattiere (coil strip introvabili) con piste danneggiate e non funzionanti ed i flat cable guasti o con piste strappate in tutte le tastier...
"Arp Odyssey, Avatar, Omni1 , Omni2, Quadra, Axxe, Pro/DGX",prezzo su richiesta,oggi alle 14:47,Ferrara,Modifico i vcf 4075 dei synth ARP secondo le specifiche di Timothy Smith per rimuovere il limite del filtro di 12KHz (dovuto ad un errore di progetto) e raggiungere i 23KHz. Il risultato è sorprendent...
Korg Poly 61 (modifica filtro),prezzo su richiesta,oggi alle 14:47,Ferrara,Effettuo modifica per controllare in tempo reale con due potenziometri Cut-off e Resonance nel synth Korg Poly61. In tal modo il controllo dei parametri del filtro è continuo e non a scatti come con l...
Korg Poly 800 (modifica filtro),prezzo su richiesta,oggi alle 14:47,Ferrara,Effettuo modifica nei synth Poly 800 MK1 e Poly800 MK2 che consente un controllo in tempo reale di Cut-off e Resonance ed inoltre controllo del filtro a 12 o 24 db. A richiesta nei Poly 800 MK1 modifi...
Eko PANDA 49 tastiera analogica,prezzo su richiesta,oggi alle 14:45,Pescara,"La tastiera è in buone condizioni, solo il primo si bemolle suona male. Probabilmente con una pulita ai circuiti va a posto. Con 49 tasti, ha anche il delay e i ritmi, un buon altoparlante incorporato..."
Behringer POLY D,"€ 550,00",oggi alle 14:40,Pesaro e Urbino,"SINTETIZZATORE ANALOGICO POLIFONICO 37 TASTI A 4 VOCI Gli anni '70 hanno generato il primo sintetizzatore analogico veramente portatile, e mentre è stato rapidamente adottato da molti famosi artisti m..."
medeli 6a fujitone fm keyboard,"€ 150,00",oggi alle 14:30,Milano,"Nuovo inscatolato. Funzionante

..."
Akai Mpk 261 nuovissima,"€ 380,00",oggi alle 14:28,Napoli,Vendo per inutilizzo tastiera controller Akai mpk 261 acquistata a dicembre 2022 ancora in garanzia fino a dicembre 2024. Con Scatola originale. Usata pochissimo in studio perché preferisco usare un a...
SYNTH KORG MICROKORG LIMITED EDITION ROSSA CUSTODIA MICROFONO VOCODER,"€ 540,00",oggi alle 14:22,Trapani,"VENDO SPETTACOLARE MICROKORG EDIZIONE LIMITATA ROSSA E NERA, IN PERFETTE CONDIZIONI FUNZIONALI ED ESTETICHE. 
INTROVABILE NEL MERCATO EUROPEO, PERFETTA PER CHI NON VUOLE ACQUISTARE DAL GIAPPONE ED ES..."
Supporti per Elka Rhapsody 490,"€ 30,00",oggi alle 14:18,Bologna,"Supporti in ferro su misura. Verniciatura nuova. Due gambe laterali più barra centrale che si smontano. Eleganti e perfetti
Contatti 3280386051..."
Goldsound MC 73 - new old stock  - Spedizione inclusa per la coppia,"€ 20,00",oggi alle 14:09,Chieti,"Dispongo di 2 unità: se acquistate insieme, la spedizione è inclusa nel prezzo (40€).
Vendo questo piccolo arranger, ottimo per circuit bending. 
Il prodotto è new old stock, rimanenza di magazzino ..."
Mutable Instruments PEAKS,"€ 120,00",oggi alle 14:08,Milano,"VENDO MODULO
NO PERDITEMPO
NO SCAMBI
..."
Yamaha YAMAHA PSR F51,"€ 59,00",oggi alle 14:07,Torino,"bellissima tastiera yamaha tenuta benissimo con  sua custodia ideale per principianti e per
studenti scuole medie 
tel  3459912140 

..."
Roland JU06A,"€ 350,00",oggi alle 14:01,Roma,"Vendo come nuovo. No scatola.
In dotazione cavo audio e midi.

NO TRATTATIVE - NO SCAMBI
COSTI DI SPEDIZIONE A CARICO DELL'ACQUIRENTE
SI ACCETTA SOLO PAYPAL O BONIFICO BANCARIO..."
TASTIERA YAMAHA MOTIF XF6 WHITE + GARANZIA 12 MESI USATO,"€ 1.600,00",,,"MUSICALANDIA: 338/7660205   0332/771508
tastiera yamaha motif xf6 white in perfette condizioni estetiche e funzionali
garanzia 12 mesi
spedizione in tutta italia
..."
Ricambi x Korg Triton e compatibili Accetto Offerte Ricambi Roland Pro/è,prezzo su richiesta,oggi alle 13:55,Vercelli,"Ricambi x tastiera Korg triton Studio e compatibili

Meccanica tastiera triton 76 Tasti  90 euro
Meccanica tastiera triton studio  61 Tasti  60 euro
Hard Disck 20G   40 euro  
Porta Schede Exb  3..."
Yamaha PSR-6300 tastiera Synth FM,"€ 150,00",oggi alle 13:52,Torino,"61 tasti 1986 MIDI
RAM pack RP-5
ROM 48 suoni 24 ritmi
Sequencer Music Programmer Altoparlanti stereo 5 watt 
Peso 12 kg
Cavo alimentazione nuovo 
Manuale stampato

Eccellenti condizioni - di ..."
Yamaha SY85 OTTIMO STATO !,prezzo su richiesta,,,Yamaha SY85 OTTIMO STATO !...
Roland System-1 (AIRA),"€ 299,00",,Crispiano (TA),"CON ALIMENTATORE ORIGINALE
CONDIZIONI PERFETTE
SENZA IMBALLO ORIGINALE
FOTO AGGIUNTIVE SU WHATSAPP AL 3292386695..."
Waldorf Blofeld desktop,"€ 320,00",oggi alle 13:47,Milano,Vendo Waldorf Blofeld desktop ottime condizioni....
Tastiera Korg M3ex 61 tasti Full Opzional,"€ 1.400,00",oggi alle 13:45,Vercelli,Tastiera Sint Korg M3ex 61 Tasti + Scheda Radias + Scheda Fw + Ram M256 perfetta come nuova imballo Manuali 1400 euro intrattabili + eventuale spedizione e preferito ritiro a mano in zona si può veder...
Hammond SK Pro 73 Usato negozio,"€ 2.399,00",,Napoli (NA),"Testo:PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite ..."
vendo ASM Hydrasynth versione Keyboard,"€ 850,00",oggi alle 13:36,Pistoia,"come da titolo dell'annuncio vendo il synth Hydrasynth della marca Ashun Sound Machines ( ASM ) versione keyboard

la tastiera funziona in tutto ed ho l'imballaggio originale con alimentatore e manu..."
